,name,type,price,star,comment,taste,env,service,recommend.0,recommend.1,recommend.2,zone,address,location
64,喜锅捞饭,小吃快餐,￥35,四星商户,149.0,8.3,8.4,8.6,鲍汁鸡丝捞饭,桃花酒,罗汉果红糖雪梨汤,庆春路沿线,庆春路86号世纪联华5楼乐胃辰光美食城,"120.176450,30.253864"
65,漫芝坞(滨江店),小吃快餐,￥45,准五星商户,224.0,8.7,9.1,8.9,招牌三拼饭,梅子酒,漫芝坞秘制卤肉饭,开发区/高教园,滨盛路3867号宝龙城2幢117室,"120.166447,30.188954"
66,年糕先生(天虹店),小吃快餐,￥18,四星商户,215.0,8.0,7.8,7.9,年糕手卷,豪华海鲜熬汤年糕,精品猪肉盒子,天虹购物中心,凤起东路新塘路108号天虹购物中心B座5楼,"120.209843,30.264579"
67,温州松糕馆,小吃快餐,￥21,四星商户,344.0,7.9,7.4,7.5,传统糯米饭,红豆松糕,鱼饼,高新文教区,教工路252号,"120.135360,30.289343"
68,嵊州小吃(密渡桥路店),小吃快餐,￥23,四星商户,119.0,8.3,7.6,8.1,特色豆腐年糕,小笼包,铁板蛋煎饺,湖墅南路,密渡桥路88号,"120.157235,30.275354"
69,小桂林米粉,小吃快餐,￥22,准五星商户,318.0,8.9,8.2,8.8,招牌卤肉粉,酸笋牛腩粉,秘制笋尖牛腩粉,和平广场,东新路155号世纪联华和平购物城大门右侧花园内,"120.176965,30.289889"
70,糊糊(滨江龙湖天街店),小吃快餐,￥20,四星商户,48.0,8.2,8.4,8.5,大满贯冰粉,姜汁核桃炖蛋,糍粑,开发区/高教园,江南大道龙湖天街6楼,"120.327627,30.310719"
71,方老大馄饨(抚宁巷店),小吃快餐,￥27,四星商户,848.0,8.5,7.0,7.5,特色腰花片儿川,茄汁拌川,爆鳝片儿川,吴山广场/河坊街,抚宁巷50-1号,"120.173759,30.233953"
72,手工仙豆糕,小吃快餐,￥15,准四星商户,1072.0,7.4,7.3,7.3,紫薯芝士仙豆糕,芋泥仙豆糕,抹茶仙豆糕,吴山广场/河坊街,河坊街158号,"120.169268,30.240244"
73,卤鸭儿(小河路店),小吃快餐,￥56,准五星商户,158.0,8.6,7.6,7.8,卤鸭儿,椒盐里脊,臭豆腐,拱宸桥/上塘,小河路409号,"120.136589,30.318289"
74,孙奶奶葱包烩,小吃快餐,￥10,四星商户,655.0,8.1,7.3,8.6,葱包桧儿,葱包烩素烧鹅,桂花糕,吴山广场/河坊街,中山南路391号,"120.170418,30.234639"
75,卤儿道道(国大城市广场店),小吃快餐,￥39,四星商户,1094.0,8.3,8.2,8.0,卤鸡爪,椰汁米汤,腊味炒饭,武林广场,延安路609号国大城市广场B2层,"120.163074,30.268320"
76,有家牛馆·中式牛排(滨江天街铂金岛店),小吃快餐,￥62,准五星商户,59.0,8.3,8.1,8.5,牛排,牛杂粉,牛杂拼盘,开发区/高教园,江南大道龙湖天街铂金岛1幢123室,"120.327627,30.310719"
77,凉生肉夹馍(西湖银泰店),小吃快餐,￥21,四星商户,185.0,8.2,8.2,8.5,咖喱牛肉汤,经典腊汁肉夹馍,叉烧肉夹馍,吴山广场/河坊街,延安路98号地下113室,"120.165614,30.244219"
78,优壹佳,小吃快餐,￥32,准五星商户,502.0,8.5,7.9,8.5,冷面,韩式烤肉拌饭,打糕,凤起路沿线,中山北路165号,"120.168976,30.262078"
79,cut8pieces创始人总店,西餐,￥76,准五星商户,169.0,8.7,8.3,8.7,芝士温泉披萨,榴莲芝士披萨,摩卡爆珠披萨,新天地,长浜路718号新天地购物中心2楼,"120.179188,30.322929"
80,和府捞面(万象城购物中心店),小吃快餐,￥44,四星商户,691.0,8.2,8.7,8.4,草本汤猪软骨面,香草番茄汤.猪软骨面,卤蛋,钱江新城,富春路701号万象城购物中心二期B1层B1S22号商铺,"120.214385,30.253503"
81,卤鸭儿(文晖路店),小吃快餐,￥53,四星商户,378.0,8.5,8.1,7.8,卤鸭儿,石锅臭豆腐,鲍汁芋艿,朝晖地区,文晖路128号附3号,"120.173195,30.282316"
82,周记炒货(湖墅南路店),小吃快餐,￥41,准五星商户,715.0,8.7,8.5,8.6,糖炒栗子,临安山核桃,新疆有机原味瓜子,湖墅南路,夹城巷7号天天好大药房对面,"120.151557,30.289067"
83,蒋师傅美食酥鱼,小吃快餐,￥23,五星商户,67.0,9.1,8.3,8.9,蒋师傅美食酥鱼,野生小白条,蒋师傅小鱼儿,吴山广场/河坊街,察院前巷225号,"120.169872,30.233968"
84,周萍粽子店,小吃快餐,￥9,准五星商户,176.0,8.6,7.6,8.4,中肉粽子,大肉粽子,蜜枣粽,吴山广场/河坊街,城隍牌楼巷17号,"120.170270,30.235230"
85,禄鼎鸡,小吃快餐,￥32,准五星商户,153.0,8.6,8.2,8.8,白切鸡,口水鸡饭,手撕鸡,庆春路沿线,中山北路33号,"120.169369,30.259052"
86,小鱼海饭(庆春店),小吃快餐,￥46,准五星商户,576.0,8.3,8.4,8.4,经典三文鱼波奇饭,经典蟹肉波奇,金槍魚波奇飯,钱江新城,太平门直街389号,"120.204795,30.260908"
87,争火烫捞(西溪银泰店),小吃快餐,￥30,准五星商户,129.0,8.5,8.5,8.6,大骨浓汤锅底,麻辣烫,鸡汤,西溪银泰城,双龙街西溪银泰城B1层BF039B,"120.106213,30.297994"
88,邦仔记香港仔鱼蛋粉,小吃快餐,￥35,四星商户,178.0,8.2,8.1,8.1,港式鲜虾云吞,混酱肠粉,劲辣咖喱鱼蛋,庆春路沿线,建国中路282号,"120.180956,30.256850"
89,李渔和他的两頭烏(凤起路店),小吃快餐,￥36,四星商户,1825.0,8.0,8.7,8.0,鸡子馃,兰溪牛肉面,兰溪肉圆,凤起路沿线,凤起路416号,"120.166096,30.264384"
90,古铺良食(学士路店),小吃快餐,￥35,四星商户,828.0,7.8,8.1,7.6,土猪肉包子,清朝馄饨,柯桥烤饼,湖滨,学士路48-5号,"120.163344,30.255899"
91,渔火(黄龙店),小吃快餐,￥49,准五星商户,2720.0,8.2,8.9,8.4,特色姜汁海鲜面,古早味地瓜包,私房双味鱼饼,西湖北线/黄龙,天目山路160号国际花园东栋101室,"120.138408,30.271751"
92,卤派三叔(星光大道店),小吃快餐,￥25,四星商户,221.0,8.0,8.2,7.4,脆皮烧鸭,五花卤肉饭,脆皮烧鸭饭,星光大道,星光大道步行街4幢1楼112号优衣库旁边,"120.209021,30.208302"
93,小城八月(下沙总店),小吃快餐,￥44,四星商户,234.0,7.8,8.3,7.9,秘制炸鸡爪,炸藕盒,炸花菜,下沙,高沙路645号,"120.334950,30.313879"
94,浙大留学生食堂,小吃快餐,￥25,准五星商户,123.0,8.6,7.8,8.0,八宝油条,水煮肉片,辣子鸡,高新文教区,天目山路浙大西溪校区,"120.140725,30.275091"
95,老街角(武林银泰店),小吃快餐,￥26,四星商户,215.0,7.9,8.0,8.1,油墩儿,猪油拌饭,豆花,武林广场,延安路530号905室,"120.163953,30.268235"
96,王老大蛋饼店,小吃快餐,￥8,四星商户,164.0,8.1,7.1,8.0,鸡蛋饼,葱油拌面,秘制牛肉粉丝,朝晖地区,朝晖路流水西苑51幢底商9号,"120.178797,30.278318"
97,皇家烤猪蹄,小吃快餐,￥14,准五星商户,47.0,8.8,7.9,8.6,烤猪蹄,烤猪皮,烤猪筋,西湖区,浙江大学紫金港校区育英路46号,"120.090830,30.309813"
98,唔饭厨坊,本帮江浙菜,￥130,准五星商户,526.0,8.8,8.9,8.8,酸菜鱼,熟醉沼虾,芒果糯米饭,凯旋路/机场路沿线,庆春东路86-13号,"120.191006,30.258417"
99,采芝斋(延安路店),小吃快餐,￥33,四星商户,624.0,7.7,7.6,7.3,榨菜月饼,西湖藕粉,桂花绿豆糕,湖滨,延安路217号,"120.163958,30.252725"
100,龙门醉客(日信国际店),小吃快餐,￥95,准五星商户,52.0,8.9,8.3,8.3,臭豆腐走个心,凉拌黄瓜,鸡爪明虾煲,上城区,钱江路555号日信国际二楼,"120.195213,30.235099"
101,新丰小吃(浣纱路店),小吃快餐,￥15,四星商户,488.0,8.0,7.6,7.4,虾肉小笼包,牛肉粉丝,虾肉馄饨,湖滨,浣纱路147号,"120.166173,30.250988"
102,二烧(建国南路店),小吃快餐,￥15,准五星商户,416.0,8.8,8.1,7.8,笋尖烧麦,全家福馄饨,鲜肉小馄饨,城站火车站,建国南路187号,"120.177141,30.241393"
103,流芳面馆(浣纱路店),面馆,￥22,准五星商户,959.0,8.4,8.6,8.4,猪肝拌川,茄汁拌川,腰花面,吴山广场/河坊街,吴山商圈浣纱路116号,"120.166554,30.249830"
104,德泓面馆(紫金港店),小吃快餐,￥19,准五星商户,336.0,8.8,7.7,7.9,招牌热干面,米糊,咸蛋黄炒年糕,三墩镇,三墩镇望月公寓1-2号商铺,"120.087905,30.310264"
